Year,Vertices,Links,Clique_number,Diameter,Clustering Coefficient,Average Degree,Max Degree,Vertices without link
1985,2,1,2,1,0.00,1.00,1,0
1990,5,1,2,1,0.00,0.40,1,3
1991,3,1,2,1,0.00,0.67,1,1
1992,10,4,2,1,0.00,0.80,1,2
1993,10,6,3,1,1.00,1.20,2,1
1994,7,2,2,1,0.00,0.57,1,3
1995,25,11,3,1,1.00,0.88,2,6
1996,22,16,4,2,0.88,1.45,3,2
1997,38,31,4,1,1.00,1.63,3,2
1998,49,40,4,2,0.93,1.63,3,2
1999,49,40,5,1,1.00,1.63,4,5
2000,46,34,4,3,0.73,1.48,5,7
2001,43,37,5,2,0.96,1.72,4,5
2002,75,67,5,2,0.85,1.79,6,10
2003,60,46,4,2,0.95,1.53,3,4
2004,77,81,6,1,1.00,2.10,5,3
2005,142,142,6,2,0.98,2.00,6,5
2006,122,131,6,2,0.97,2.15,5,6
2007,165,212,8,2,0.98,2.57,7,2
2008,167,199,7,2,0.95,2.38,6,7
2009,240,307,6,4,0.88,2.56,9,8
2010,226,316,12,2,0.99,2.80,11,2
2011,255,283,6,3,0.91,2.22,6,8
2012,285,363,6,4,0.94,2.55,7,2
2013,380,501,7,5,0.90,2.64,9,8
2014,380,578,13,2,0.98,3.04,12,5
2015,537,1024,19,5,0.85,3.81,28,13
2016,750,1315,12,6,0.79,3.51,26,9
2017,1590,3653,25,9,0.74,4.59,59,18
2018,3112,7349,29,14,0.75,4.72,110,29
2019,5530,13741,42,19,0.82,4.97,79,50
2020,7909,18944,37,23,0.74,4.79,80,71
2021,117,189,8,2,0.99,3.23,7,0
